Question ID,Question 
C4n,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Engaging in criminal behaviour outside work"
C4o,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Secretly holding another job outside government without agency permission"
C4ii,"If you have witnessed unethical behaviour in your workplace, did you report it?"
C5,Do you know how to report unethical behavior in your workplace?
C6,"During the past 12 months, have you been subjected to repeated bullying in your workplace?"
C6ai,"If yes, which of the following describes the nature of the bullying you have experienced?: Verbally abusing, insulting or offending me, including criticising me in the form of yelling or screaming"
C6aii,"If yes, which of the following describes the nature of the bullying you have experienced?: Spreading misinformation or malicious rumours"
C6aiii,"If yes, which of the following describes the nature of the bullying you have experienced?: Teasing or regularly making me the brunt of practical jokes or pranks"
C6aiv,"If yes, which of the following describes the nature of the bullying you have experienced?: Frightening, humiliating, belittling or degrading me through physical behaviour (e.g. assault, aggressive body language)"
C6av,"If yes, which of the following describes the nature of the bullying you have experienced?: Excluding or isolating me from others"
C6avi,"If yes, which of the following describes the nature of the bullying you have experienced?: Assigning me tasks unrelated to my job or unreasonably below or beyond my skills level"
C6avii,"If yes, which of the following describes the nature of the bullying you have experienced?: Setting timelines that are difficult to achieve or constantly changing deadlines"
C6aviii,"If yes, which of the following describes the nature of the bullying you have experienced?: Deliberately changing work rosters or leave arrangements to inconvenience me"
C6aix,"If yes, which of the following describes the nature of the bullying you have experienced?: Deliberately withholding information, resources or consultation which is vital to my effective work performance"
C6ax,"If yes, which of the following describes the nature of the bullying you have experienced?: Inappropriately or unfairly managing my performance"
C6axi,"If yes, which of the following describes the nature of the bullying you have experienced?: Other (please specify)"
C7,Do you know how to report bullying in your workplace?
C8,Are you aware of the PID Act and how to make a disclosure?
C9,Would you use the PID Act to make a disclosure of public interest information to a proper authority if you were aware of unethical behaviour in your workplace?
D1,What is your gender?
D3,What is the highest level of formal education you have completed?
D8,What is your current total annual gross salary (before tax)?
D14,"Are you employed in one of the top four levels of management in your agency’s organisational hierarchy (e.g. General Manager, Executive Director, Chief Executive Officer)?"
AgencySize,Size of agency (headcount)
